Kanji	On	Kun
苦	ku	kuru-shii;kuru-shimu;kuru-shimeru;niga-i;niga-ru
荷	ka	ni
落	raku	o-chiru;otosu
葉	you	ha;ba
薬	yaku	kusuri
血	ketsu	chi
表	hyou	omote;arawa-su;arawa-reru
詩	shi	–
調	chou	shira-beru
談	dan	–
豆	tou;zu	mame
負	fu	ma-keru;o-u
起	ki	o-kiru;o-kosu;o-koru
路	ro	ji
身	shin	mi
転	ten	koro-bu
軽	kei	karu-i
農	nou	–
返	hen	kae-su;kae-ru
追	tsui	o-u
送	sou	oku-ru
速	soku	haya-i;haya-maru;haya-meru
進	shin	susu-mu
遊	yuu	aso-bu
運	un	hako-bu
部	bu	–
都	to;tsu	miyako
配	hai	kuba-ru
酒	shu	sake;saka
重	juu;chou	omo-i;kasa-neru
鉄	tetsu	–
銀	gin	–
開	kai	hira-ku;a-ku;hira-keru;a-keru
院	in	–
陽	you	–
階	kai	–
集	shuu	atsu-maru;atsu-meru
面	men	omo-te;tsura
題	dai	–
飲	in	no-mu
館	kan	yakata
駅	eki	–
鼻	bi	hana
不	fu;bu	–
争	sou	araso-u
付	fu	tsu-ku;tsu-keru;ata-eru
令	rei	–
以	i	–
仲	chuu	naka
伝	den	tsuta-eru;tsute
位	i	kurai
低	tei	hiku-i
例	rei	tato-eru
便	ben;bin;hen	tayo-ri;ibari;sunawa-chi;hetsura-u;yosuga
信	shin	tayo-ri;maka-seru;makoto
倉	sou	kura
候	kou	–
借	shaku	ka-riru
停	tei	–
健	ken	–
側	soku;shoku	kawa;gawa;katawa-ra;soba;hata
働	dou	hatara-ku
億	oku	–
兆	chou	kiza-shi
児	ji;ni	–
共	kyou	tomo
兵	hei;hyou	tsuwamono
典	ten	–
冷	rei	tsume-tai;hi-eru;sa-meru
初	sho	hatsu;haji-me
別	betsu	waka-reru
利	ri	–
刷	satsu	su-ru
副	fuku	–
功	kou	–
加	ka	kuwa-eru
努	do	tsuto-meru
労	rou	negira-u
勇	yuu	isa-mu
包	hou	tsutsu-mu
卒	sotsu	–
