Kanji	On	Kun
周	shū	mawa-ri
唱	shō	tona-eru
喜	ki	yoroko-bu
器	ki	utsuwa
囲	i	kako-u
固	ko	kata-maru
型	kei	kata
堂	dō	–
塩	en	shio
士	shi	–
変	hen	ka-waru
夫	fu fuu bu	otto
失	shitsu	ushina-u
好	kō	su-ku;kono-mu
季	ki	–
孫	son	mago
完	kan	–
官	kan	–
害	gai	–
察	satsu	–
巣	sō	su
差	sa	–
希	ki	mare
席	seki	–
帯	tai	obi
底	tei	soko
府	fu	–
康	kō	–
建	ken	ta-teru
径	kei	–
徒	to	–
得	toku	e-ru
必	hitsu	kanara-zu
念	nen	–
愛	ai	–
成	sei	na-ru
戦	sen	ikusa;tataka-u
折	setsu	o-ru
挙	kyo	a-geru
改	kai	arata-meru
救	kyū	suku-u
敗	hai	yabu-reru
散	san	chi-ru
料	ryō	–
旗	ki	hata
昨	saku	–
景	kei	–
最	sai	mo;motto-mo
望	bō	nozo-mu
未	mi	ima-da
末	matsu	sue
札	satsu	fuda
材	zai	–
束	soku	taba;tsuka
松	shō	matsu
果	ka	ha-tasu
栄	ei	saka-eru
案	an	–
梅	bai	ume
械	kai	–
極	kyoku	kiwa-meru
標	hyō	–
機	ki	hata
欠	ketsu	ka-keru
歴	reki	–
残	zan	noko-ru
殺	satsu	koro-su
毒	doku	–
氏	shi	uji
民	min	tami
求	kyū	moto-mu
治	chi or ji	osa-meru;nao-ru
法	hō	–
泣	kyū	na-ku
浅	sen	asa-i
浴	yoku	abi-ru
清	sei or shō	kiyo-raka
満	man	mi-chiru
漁	ryō or gyō	asa-ru
灯	tō	hi
無	mu or bu	na-i
然	zen or nen	shika-shi
焼	shō	ya-ku
照	shō	te-rasu
熱	netsu	atsu-i
牧	boku	maki
特	toku	–
産	san	u-mu
的	teki	mato
省	sho or sei	habu-ku
祝	shuku	iwa-u
票	hyō	–
種	shu	tane
積	seki	tsu-mu
競	kyō	kiso-u
笑	shō	wara-u
管	kan	kuda
節	setsu	fushi
粉	fun	ko;kona
紀	ki	–
約	yaku	–
結	ketsu	musu-bu;yu-u
給	kyū	tama-u
続	zoku	tsudu-ku
置	chi	o-ku
老	rō	o-iru
胃	i	–
脈	myaku	–
腸	chō	–
臣	shin	–
航	kō	–
良	ryō	yo-i
芸	gei	–
芽	ga	me
英	ei	–
菜	sai	na
街	gai	machi
衣	i	koromo
要	yō	i-ru
覚	kaku	obo-eru;sa-meru
観	kan	mi-ru
訓	kun	–
試	shi	kokoromi-ru;tame-su
説	setsu	to-ku
課	ka	–
議	gi	–
象	zō or shō	–
貨	ka	–
貯	cho	ta-meru
費	hi	tsui-yasu
賞	shō	–
軍	gun	–
輪	rin	wa
辞	ji	ya-meru
辺	hen	ata-ri
連	ren	tsu-reru;tsura-neru
達	–	tachi
選	sen	era-bu
郡	gun	–
量	ryō	–
録	roku	–
鏡	kyō	kagami
関	kan	seki
陸	riku	–
隊	tai	–
静	sei	shizu-ka
順	jun	–
願	gan	nega-u
類	rui	–
飛	hi	to-bu
飯	han	meshi
養	yō	yashina-u
験	ken	–
久	kyū	hisa
仏	hutsu;butsu	hotoke
仮	ka;ke	kari
件	ken	-
任	nin	maka-seru
似	ji	ni-ru
余	yo	ama-ru
価	ka	atai
保	ho	tamo-tsu
修	shū	osa-meru
俵	hyō	tawara
個	ko	-
備	bi	sona-eru
像	zō	-
再	sai;sa	futata-bi
刊	kan	-
判	han	waka-ru
制	sei	-
券	ken	-
則	soku	notto-ru
効	kō	ki-ku
務	mu	tsuto-meru
勢	sei	ikio-i
厚	kō	atsu-i
句	ku	-
可	ka	-
営	ei	itona-mu
因	in	yo-ru
団	dan;ton	-
圧	atsu	-
在	zai	a-ru
均	kin	-
基	ki	moto-duku
報	hō	muku-iru
境	kyō	sakai
墓	bo	haka
増	zō	ma-su;fu-eru
夢	mu	yume
妻	sai	tsuma
婦	fu	-
容	yō	-
寄	ki	yo-ru
富	fu	tomi
導	dō	michibi-ku
居	kyo	i-ru
属	zoku	-
布	fu	nuno
師	shi	-
常	jō	tsune
幹	kan	miki
序	jo	-
弁	ben	-
張	chō	ha-ru
往	ō	-
復	fuku	-
徳	toku	-
志	shi	kokorozashi
応	ō	-
快	kai	kokoroyo-i
性	seishō	saga
恩	on	-
情	jō	nasa-ke
態	tai	-
慣	kan	na-reru
承	shō	uketamawa-ru
技	gi	waza
招	shō	mane-ku
授	ju	sazu-keru
採	sai	to-ru
接	setsu	ses-suru;tsu-gu
提	tei	sa-geru
損	son	soko-neru
支	shi	sasa-eru
政	sei	matsurigoto
故	ko	yue
敵	teki	kataki
断	dan	ta-tsu;kotowa-ru
旧	kyū	-
